filename,spec,group,prompt
"public/assets/terrain/plains.png","512x512 PNG, transparent outside hex, tileable","Terrain","Dry temperate grassland with patchy scrub and faint dirt vehicle tracks. Top-down orthographic view of a single flat-top hexagon map tile, edges designed to seam seamlessly with neighbours. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: olive base #7c8a4f with sand #c9a14a track accents. Lighting: soft top-down ambient with a faint warm key from the north-west, gentle readable relief shadows. Background: art fills the hex, fully transparent outside the hexagon silhouette. 512x512 PNG, transparent outside hex, tileable."
"public/assets/terrain/forest.png","512x512 PNG, transparent outside hex, tileable","Terrain","Dense dark coniferous canopy of tight treetops with a few shadowed clearings. Top-down orthographic view of a single flat-top hexagon map tile, edges designed to seam seamlessly with neighbours. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: forest base #2f5d3a with gunmetal #2a2f3a shadow. Lighting: soft top-down ambient with a faint warm key from the north-west, gentle readable relief shadows. Background: art fills the hex, fully transparent outside the hexagon silhouette. 512x512 PNG, transparent outside hex, tileable."
"public/assets/terrain/river.png","512x512 PNG, transparent outside hex, tileable","Terrain","A flowing water channel cutting across with muddy banks and a shallow ford crossing. Top-down orthographic view of a single flat-top hexagon map tile, edges designed to seam seamlessly with neighbours. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: river base #2c6f8c with concrete #8b8f96 banks. Lighting: soft top-down ambient with a faint warm key from the north-west, gentle readable relief shadows. Background: art fills the hex, fully transparent outside the hexagon silhouette. 512x512 PNG, transparent outside hex, tileable."
"public/assets/terrain/mountain.png","512x512 PNG, transparent outside hex, tileable","Terrain","Rugged rock ridges and loose scree, hard angular high-ground relief. Top-down orthographic view of a single flat-top hexagon map tile, edges designed to seam seamlessly with neighbours. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: mountain base #6b6f78 with ash #4b515c shadow. Lighting: soft top-down ambient with a faint warm key from the north-west, gentle readable relief shadows. Background: art fills the hex, fully transparent outside the hexagon silhouette. 512x512 PNG, transparent outside hex, tileable."
"public/assets/terrain/desert.png","512x512 PNG, transparent outside hex, tileable","Terrain","Rolling sand dunes with an oily sheen patch and a marked derrick drill spot. Top-down orthographic view of a single flat-top hexagon map tile, edges designed to seam seamlessly with neighbours. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: sand base #c9a14a with amber #f5b301 oil glint. Lighting: soft top-down ambient with a faint warm key from the north-west, gentle readable relief shadows. Background: art fills the hex, fully transparent outside the hexagon silhouette. 512x512 PNG, transparent outside hex, tileable."
"public/assets/terrain/coastal.png","512x512 PNG, transparent outside hex, tileable","Terrain","A shoreline where land meets open sea, with a small concrete dock and breakwater. Top-down orthographic view of a single flat-top hexagon map tile, edges designed to seam seamlessly with neighbours. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: teal base #3f9aa6 with sand #c9a14a shore. Lighting: soft top-down ambient with a faint warm key from the north-west, gentle readable relief shadows. Background: art fills the hex, fully transparent outside the hexagon silhouette. 512x512 PNG, transparent outside hex, tileable."
"public/assets/terrain/industrial.png","512x512 PNG, transparent outside hex, tileable","Terrain","Poured concrete slabs, exposed pipe runs and a short smokestack on oil-stained ground. Top-down orthographic view of a single flat-top hexagon map tile, edges designed to seam seamlessly with neighbours. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: industrial base #8a5a3c with gunmetal #2a2f3a steel. Lighting: soft top-down ambient with a faint warm key from the north-west, gentle readable relief shadows. Background: art fills the hex, fully transparent outside the hexagon silhouette. 512x512 PNG, transparent outside hex, tileable."
"public/assets/terrain/techRuins.png","512x512 PNG, transparent outside hex, tileable","Terrain","Broken half-buried arcology shards and exposed circuitry emitting a faint glow. Top-down orthographic view of a single flat-top hexagon map tile, edges designed to seam seamlessly with neighbours. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: techruins base #5b4b8a with violet #8b5cf6 glow. Lighting: soft top-down ambient with a faint warm key from the north-west, gentle readable relief shadows. Background: art fills the hex, fully transparent outside the hexagon silhouette. 512x512 PNG, transparent outside hex, tileable."
"public/assets/terrain/warzone.png","512x512 PNG, transparent outside hex, tileable","Terrain","Cratered scorched earth with blast scoring, scattered wreckage and bent rebar. Top-down orthographic view of a single flat-top hexagon map tile, edges designed to seam seamlessly with neighbours. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: scorched dark base with blood #9c2b2b signal. Lighting: soft top-down ambient with a faint warm key from the north-west, gentle readable relief shadows. Background: art fills the hex, fully transparent outside the hexagon silhouette. 512x512 PNG, transparent outside hex, tileable."
"public/assets/buildings/camp.png","256x256 PNG, transparent","Buildings — Economy","A humble field command tent camp with sandbag walls and a short radio mast. Three-quarter top-down billboard view, a single building on a consistent square footprint, grounded with a soft drop shadow. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: olive #5c6347 canvas with amber #f5b301 marker. Lighting: soft north-west key light with one long readable shadow. Background: transparent background (PNG alpha), nothing behind the structure. 256x256 PNG, transparent."
"public/assets/buildings/farm.png","256x256 PNG, transparent","Buildings — Economy","Small terraced crop-field plots beside a simple irrigation shed. Three-quarter top-down billboard view, a single building on a consistent square footprint, grounded with a soft drop shadow. Gritty militarized near-future dieselpunk, lightly stylized for readability (not photoreal); weathered PBR materials (rust, oil, poured concrete, cold steel, sandbags); subtle film grain; desaturated world where color is a sparse signal; strong clean silhouette readable as solid black at 32px. Negative: no neon cyberpunk, no fantasy or magic FX, no glossy mobile-cartoon gloss, no centered subject floating on a gradient, no rainbow palette, no lens flare, no AI-melted detail. Palette: olive #5c6347 with sand #c9a14a crops. Lighting: soft north-west key light with one long readable shadow. Background: transparent background (PNG alpha), nothing behind the structure. 256x256 PNG, transparent."
